ts_iso,iteration,t_sign_ms,t_authorize_ms,decision,reason
2026-02-07T20:28:51Z,1,0.065,2.527,allow,authorized
2026-02-07T20:28:51Z,2,0.062,2.677,allow,authorized
2026-02-07T20:28:51Z,3,0.066,2.742,allow,authorized
2026-02-07T20:28:51Z,4,0.062,2.668,allow,authorized
2026-02-07T20:28:51Z,5,0.062,2.648,allow,authorized
2026-02-07T20:28:51Z,6,0.064,2.674,allow,authorized
2026-02-07T20:28:51Z,7,0.080,2.636,allow,authorized
2026-02-07T20:28:51Z,8,0.073,3.308,allow,authorized
2026-02-07T20:28:51Z,9,0.068,2.824,allow,authorized
2026-02-07T20:28:51Z,10,0.080,2.613,allow,authorized
2026-02-07T20:28:51Z,11,0.061,2.566,allow,authorized
2026-02-07T20:28:51Z,12,0.116,2.540,allow,authorized
2026-02-07T20:28:51Z,13,0.073,3.108,allow,authorized
2026-02-07T20:28:51Z,14,0.078,2.918,allow,authorized
2026-02-07T20:28:51Z,15,0.072,3.327,allow,authorized
2026-02-07T20:28:51Z,16,0.068,3.702,allow,authorized
2026-02-07T20:28:51Z,17,0.062,3.021,allow,authorized
2026-02-07T20:28:51Z,18,0.135,2.995,allow,authorized
2026-02-07T20:28:51Z,19,0.063,3.111,allow,authorized
2026-02-07T20:28:51Z,20,0.062,3.152,allow,authorized
2026-02-07T20:28:51Z,21,0.060,2.602,allow,authorized
2026-02-07T20:28:51Z,22,0.059,2.702,allow,authorized
2026-02-07T20:28:51Z,23,0.069,2.871,allow,authorized
2026-02-07T20:28:51Z,24,0.064,2.616,allow,authorized
2026-02-07T20:28:51Z,25,0.063,2.492,allow,authorized
2026-02-07T20:28:51Z,26,0.063,2.812,allow,authorized
2026-02-07T20:28:51Z,27,0.062,2.542,allow,authorized
2026-02-07T20:28:51Z,28,0.062,15.377,allow,authorized
2026-02-07T20:28:51Z,29,0.074,2.432,allow,authorized
2026-02-07T20:28:51Z,30,0.056,2.360,allow,authorized
2026-02-07T20:28:51Z,31,0.075,2.469,allow,authorized
2026-02-07T20:28:51Z,32,0.064,2.449,allow,authorized
2026-02-07T20:28:51Z,33,0.063,2.732,allow,authorized
2026-02-07T20:28:51Z,34,0.062,3.511,allow,authorized
2026-02-07T20:28:51Z,35,0.065,2.824,allow,authorized
2026-02-07T20:28:51Z,36,0.066,2.623,allow,authorized
2026-02-07T20:28:51Z,37,0.064,2.636,allow,authorized
2026-02-07T20:28:51Z,38,0.062,2.505,allow,authorized
2026-02-07T20:28:51Z,39,0.068,2.728,allow,authorized
2026-02-07T20:28:51Z,40,0.067,2.548,allow,authorized
2026-02-07T20:28:52Z,41,0.062,2.635,allow,authorized
2026-02-07T20:28:52Z,42,0.062,2.541,allow,authorized
2026-02-07T20:28:52Z,43,0.062,2.637,allow,authorized
2026-02-07T20:28:52Z,44,0.063,2.470,allow,authorized
2026-02-07T20:28:52Z,45,0.058,2.946,allow,authorized
2026-02-07T20:28:52Z,46,0.067,2.887,allow,authorized
2026-02-07T20:28:52Z,47,0.067,2.694,allow,authorized
2026-02-07T20:28:52Z,48,0.079,2.522,allow,authorized
2026-02-07T20:28:52Z,49,0.061,2.673,allow,authorized
2026-02-07T20:28:52Z,50,0.063,4.412,allow,authorized
2026-02-07T20:28:52Z,51,0.062,4.746,allow,authorized
2026-02-07T20:28:52Z,52,0.064,2.698,allow,authorized
2026-02-07T20:28:52Z,53,0.062,3.182,allow,authorized
2026-02-07T20:28:52Z,54,0.061,2.595,allow,authorized
2026-02-07T20:28:52Z,55,0.060,2.666,allow,authorized
2026-02-07T20:28:52Z,56,0.063,3.003,allow,authorized
2026-02-07T20:28:52Z,57,0.063,17.564,allow,authorized
2026-02-07T20:28:52Z,58,0.065,2.619,allow,authorized
2026-02-07T20:28:52Z,59,0.061,2.570,allow,authorized
2026-02-07T20:28:52Z,60,0.064,2.421,allow,authorized
2026-02-07T20:28:52Z,61,0.060,2.744,allow,authorized
2026-02-07T20:28:52Z,62,0.061,2.515,allow,authorized
2026-02-07T20:28:52Z,63,0.059,2.628,allow,authorized
2026-02-07T20:28:52Z,64,0.061,2.653,allow,authorized
2026-02-07T20:28:52Z,65,0.062,2.547,allow,authorized
2026-02-07T20:28:52Z,66,0.061,2.281,allow,authorized
2026-02-07T20:28:52Z,67,0.056,2.725,allow,authorized
2026-02-07T20:28:52Z,68,0.063,2.508,allow,authorized
2026-02-07T20:28:52Z,69,0.068,3.738,allow,authorized
2026-02-07T20:28:52Z,70,0.066,2.610,allow,authorized
2026-02-07T20:28:52Z,71,0.062,2.522,allow,authorized
2026-02-07T20:28:52Z,72,0.059,3.010,allow,authorized
2026-02-07T20:28:52Z,73,0.060,2.469,allow,authorized
2026-02-07T20:28:52Z,74,0.078,3.167,allow,authorized
2026-02-07T20:28:52Z,75,0.064,2.708,allow,authorized
2026-02-07T20:28:52Z,76,0.066,3.679,allow,authorized
2026-02-07T20:28:52Z,77,0.063,3.666,allow,authorized
2026-02-07T20:28:52Z,78,0.068,2.785,allow,authorized
2026-02-07T20:28:52Z,79,0.067,2.660,allow,authorized
2026-02-07T20:28:52Z,80,0.064,3.183,allow,authorized
2026-02-07T20:28:52Z,81,0.066,2.745,allow,authorized
2026-02-07T20:28:52Z,82,0.063,2.674,allow,authorized
2026-02-07T20:28:52Z,83,0.061,27.593,allow,authorized
2026-02-07T20:28:52Z,84,0.063,2.550,allow,authorized
2026-02-07T20:28:52Z,85,0.066,2.613,allow,authorized
2026-02-07T20:28:52Z,86,0.076,2.504,allow,authorized
2026-02-07T20:28:52Z,87,0.064,2.503,allow,authorized
2026-02-07T20:28:52Z,88,0.059,2.809,allow,authorized
2026-02-07T20:28:52Z,89,0.064,2.965,allow,authorized
2026-02-07T20:28:52Z,90,0.062,2.474,allow,authorized
2026-02-07T20:28:52Z,91,0.065,2.637,allow,authorized
2026-02-07T20:28:52Z,92,0.061,2.403,allow,authorized
2026-02-07T20:28:52Z,93,0.066,2.686,allow,authorized
2026-02-07T20:28:52Z,94,0.064,2.677,allow,authorized
2026-02-07T20:28:52Z,95,0.064,3.260,allow,authorized
2026-02-07T20:28:52Z,96,0.069,2.932,allow,authorized
2026-02-07T20:28:52Z,97,0.068,2.748,allow,authorized
2026-02-07T20:28:52Z,98,0.067,3.037,allow,authorized
2026-02-07T20:28:52Z,99,0.065,2.994,allow,authorized
2026-02-07T20:28:52Z,100,0.064,3.222,allow,authorized
2026-02-07T20:28:52Z,101,0.066,2.734,allow,authorized
2026-02-07T20:28:52Z,102,0.062,2.483,allow,authorized
2026-02-07T20:28:52Z,103,0.063,2.685,allow,authorized
2026-02-07T20:28:52Z,104,0.062,2.572,allow,authorized
2026-02-07T20:28:52Z,105,0.067,2.732,allow,authorized
2026-02-07T20:28:52Z,106,0.062,2.858,allow,authorized
2026-02-07T20:28:52Z,107,0.077,2.635,allow,authorized
2026-02-07T20:28:52Z,108,0.063,2.449,allow,authorized
2026-02-07T20:28:52Z,109,0.059,2.440,allow,authorized
2026-02-07T20:28:52Z,110,0.060,2.433,allow,authorized
2026-02-07T20:28:52Z,111,0.058,2.333,allow,authorized
2026-02-07T20:28:52Z,112,0.062,2.630,allow,authorized
2026-02-07T20:28:52Z,113,0.063,18.224,allow,authorized
2026-02-07T20:28:52Z,114,0.066,3.353,allow,authorized
2026-02-07T20:28:52Z,115,0.064,2.676,allow,authorized
2026-02-07T20:28:52Z,116,0.060,2.544,allow,authorized
2026-02-07T20:28:52Z,117,0.060,2.741,allow,authorized
2026-02-07T20:28:52Z,118,0.083,2.701,allow,authorized
2026-02-07T20:28:52Z,119,0.066,3.112,allow,authorized
2026-02-07T20:28:52Z,120,0.063,2.513,allow,authorized
2026-02-07T20:28:52Z,121,0.062,2.376,allow,authorized
2026-02-07T20:28:52Z,122,0.074,2.567,allow,authorized
2026-02-07T20:28:52Z,123,0.074,2.670,allow,authorized
2026-02-07T20:28:52Z,124,0.062,3.115,allow,authorized
2026-02-07T20:28:52Z,125,0.067,2.846,allow,authorized
2026-02-07T20:28:52Z,126,0.070,2.735,allow,authorized
2026-02-07T20:28:52Z,127,0.062,2.530,allow,authorized
2026-02-07T20:28:52Z,128,0.065,2.864,allow,authorized
2026-02-07T20:28:52Z,129,0.062,3.026,allow,authorized
2026-02-07T20:28:52Z,130,0.066,2.885,allow,authorized
2026-02-07T20:28:52Z,131,0.063,2.945,allow,authorized
2026-02-07T20:28:52Z,132,0.067,2.708,allow,authorized
2026-02-07T20:28:52Z,133,0.060,2.591,allow,authorized
2026-02-07T20:28:52Z,134,0.061,2.835,allow,authorized
2026-02-07T20:28:52Z,135,0.068,2.464,allow,authorized
2026-02-07T20:28:52Z,136,0.063,3.292,allow,authorized
2026-02-07T20:28:52Z,137,0.060,2.444,allow,authorized
2026-02-07T20:28:52Z,138,0.062,2.790,allow,authorized
2026-02-07T20:28:52Z,139,0.066,25.862,allow,authorized
2026-02-07T20:28:52Z,140,0.068,3.205,allow,authorized
2026-02-07T20:28:52Z,141,0.062,2.888,allow,authorized
2026-02-07T20:28:52Z,142,0.063,2.890,allow,authorized
2026-02-07T20:28:52Z,143,0.059,2.545,allow,authorized
2026-02-07T20:28:52Z,144,0.066,2.908,allow,authorized
2026-02-07T20:28:52Z,145,0.060,2.892,allow,authorized
2026-02-07T20:28:52Z,146,0.065,3.103,allow,authorized
2026-02-07T20:28:52Z,147,0.062,2.765,allow,authorized
2026-02-07T20:28:52Z,148,0.066,2.474,allow,authorized
2026-02-07T20:28:52Z,149,0.064,2.530,allow,authorized
2026-02-07T20:28:52Z,150,0.078,2.442,allow,authorized
2026-02-07T20:28:52Z,151,0.063,2.705,allow,authorized
2026-02-07T20:28:52Z,152,0.065,2.510,allow,authorized
2026-02-07T20:28:52Z,153,0.061,2.683,allow,authorized
2026-02-07T20:28:52Z,154,0.062,2.546,allow,authorized
2026-02-07T20:28:52Z,155,0.061,2.735,allow,authorized
2026-02-07T20:28:52Z,156,0.062,2.896,allow,authorized
2026-02-07T20:28:52Z,157,0.082,2.683,allow,authorized
2026-02-07T20:28:52Z,158,0.065,3.055,allow,authorized
2026-02-07T20:28:52Z,159,0.091,2.681,allow,authorized
2026-02-07T20:28:52Z,160,0.063,2.753,allow,authorized
2026-02-07T20:28:52Z,161,0.062,2.614,allow,authorized
2026-02-07T20:28:52Z,162,0.068,2.902,allow,authorized
2026-02-07T20:28:52Z,163,0.066,2.870,allow,authorized
2026-02-07T20:28:52Z,164,0.067,2.568,allow,authorized
2026-02-07T20:28:52Z,165,0.067,2.524,allow,authorized
2026-02-07T20:28:52Z,166,0.060,2.329,allow,authorized
2026-02-07T20:28:52Z,167,0.065,2.778,allow,authorized
2026-02-07T20:28:52Z,168,0.062,2.463,allow,authorized
2026-02-07T20:28:52Z,169,0.092,20.178,allow,authorized
2026-02-07T20:28:52Z,170,0.063,2.421,allow,authorized
2026-02-07T20:28:52Z,171,0.058,2.598,allow,authorized
2026-02-07T20:28:52Z,172,0.062,2.582,allow,authorized
2026-02-07T20:28:52Z,173,0.065,3.169,allow,authorized
2026-02-07T20:28:52Z,174,0.063,2.767,allow,authorized
2026-02-07T20:28:52Z,175,0.065,3.374,allow,authorized
2026-02-07T20:28:52Z,176,0.066,2.953,allow,authorized
2026-02-07T20:28:52Z,177,0.070,2.721,allow,authorized
2026-02-07T20:28:52Z,178,0.060,3.024,allow,authorized
2026-02-07T20:28:52Z,179,0.082,2.716,allow,authorized
2026-02-07T20:28:52Z,180,0.068,2.824,allow,authorized
2026-02-07T20:28:52Z,181,0.067,2.768,allow,authorized
2026-02-07T20:28:52Z,182,0.061,2.726,allow,authorized
2026-02-07T20:28:52Z,183,0.061,2.825,allow,authorized
2026-02-07T20:28:52Z,184,0.061,2.435,allow,authorized
2026-02-07T20:28:52Z,185,0.058,2.738,allow,authorized
2026-02-07T20:28:52Z,186,0.066,2.705,allow,authorized
2026-02-07T20:28:52Z,187,0.069,2.720,allow,authorized
2026-02-07T20:28:52Z,188,0.061,2.578,allow,authorized
2026-02-07T20:28:52Z,189,0.063,2.843,allow,authorized
2026-02-07T20:28:52Z,190,0.065,2.924,allow,authorized
2026-02-07T20:28:52Z,191,0.060,2.482,allow,authorized
2026-02-07T20:28:52Z,192,0.062,2.574,allow,authorized
2026-02-07T20:28:52Z,193,0.060,2.678,allow,authorized
2026-02-07T20:28:52Z,194,0.072,2.966,allow,authorized
2026-02-07T20:28:52Z,195,0.063,2.495,allow,authorized
2026-02-07T20:28:52Z,196,0.063,2.619,allow,authorized
2026-02-07T20:28:52Z,197,0.060,22.688,allow,authorized
2026-02-07T20:28:52Z,198,0.067,2.784,allow,authorized
2026-02-07T20:28:52Z,199,0.069,2.580,allow,authorized
2026-02-07T20:28:52Z,200,0.061,2.600,allow,authorized
